#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_003939355.2.fna	CP078042.1	2495121	2495657	-	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_003939355.2.fna	CP078042.1	2496079	2496462	-	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_003939355.2.fna	CP078042.1	2515669	2516702	-	(ompA)	1-1037/1062	========/======	4/15	96.80	88.11	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_003939355.2.fna	CP078042.1	3092187	3093539	+	(ABBFA_RS17100)	13-1365/1371	===============	0/0	98.69	81.52	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_003939835.1.fna	RHXH01000001.1	309261	309764	-	(hcp/tssD)	1-504/504	===============	0/0	100.00	87.70	VFG051046(gb|WP_000653195.1)	type	VI secretion system tube protein Hcp [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_003939835.1.fna	RHXH01000001.1	309820	311241	-	(tssC)	61-1482/1482	===============	0/0	95.95	83.69	VFG051070(gb|WP_001066523.1)	type	VI secretion system contractile sheath large subunit [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_003939835.1.fna	RHXH01000001.1	356822	357887	+	(pilT)	3-1068/1068	========/======	2/2	99.72	84.07	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_003939835.1.fna	RHXH01000002.1	145925	146461	-	(pilI)	1-537/537	========/======	2/2	99.81	80.11	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_003939835.1.fna	RHXH01000002.1	146883	147266	-	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_003939835.1.fna	RHXH01000002.1	166530	167551	-	(ompA)	1-1037/1062	========/======	7/17	96.14	84.59	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_003939835.1.fna	RHXH01000005.1	79849	80558	+	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_003939835.1.fna	RHXH01000006.1	105576	108890	+	(vgrG/tssI)	1-3315/3321	========/======	3/6	99.73	81.34	VFG050922(gb|WP_000898328.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_003939835.1.fna	RHXH01000006.1	151077	151979	+	(lpxC)	1-903/903	========/======	2/2	99.89	80.20	VFG037822(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ACICU]	
GCA_003939835.1.fna	RHXH01000019.1	5723	6310	+	(BJAB07104_RS00515)	1-588/615	===============	0/0	95.61	81.12	VFG038020(gb|WP_000595803)	sugar	transferase [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB07104]	
GCA_003939835.1.fna	RHXH01000019.1	14182	15533	-	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	81.58	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_003939835.1.fna	RHXH01000024.1	38498	39355	+	(A1S_0053)	1-858/858	===============	0/0	100.00	85.90	VFG037913(gb|YP_001083150)	MviM	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_003939835.1.fna	RHXH01000024.1	39352	39930	+	(A1S_0054)	1-579/579	===============	0/0	100.00	90.85	VFG037928(gb|YP_001083151)	WbbJ	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_003939835.1.fna	RHXH01000024.1	40136	41000	+	(A1S_0055)	1-865/879	========/======	3/6	98.07	84.91	VFG037943(gb|YP_001083152)	WecE	protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ATCC 17978]	
GCA_003940305.1.fna	RHXF01000005.1	60631	61340	+	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_003940305.1.fna	RHXF01000013.1	42807	44164	-	(ABBFA_RS17100)	13-1370/1371	===============	0/0	99.05	81.22	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_003940305.1.fna	RHXF01000015.1	2430	3463	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.11	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_003940305.1.fna	RHXF01000015.1	21362	21745	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_003940305.1.fna	RHXF01000018.1	24265	24982	-	(pilF)	85-801/801	.=======/======	1/1	89.51	80.08	VFG050418(gb|WP_004738086.1)	type	IV pilus biogenesis/stability protein PilW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_003940305.1.fna	RHXF01000050.1	5932	6997	+	(pilT)	3-1068/1068	========/======	2/2	99.72	84.07	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_003940305.1.fna	RHXF01000052.1	13456	16515	+	(vgrG/tssI)	1-3060/3327	==============.	0/0	91.97	86.37	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
GCA_003957055.1.fna	RWKP01000002.1	74390	75423	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.11	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_003957055.1.fna	RWKP01000002.1	94626	95009	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_003957055.1.fna	RWKP01000002.1	95431	95967	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_003957055.1.fna	RWKP01000006.1	29419	30484	-	(pilT)	3-1068/1068	========/======	2/2	99.72	84.16	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_003957055.1.fna	RWKP01000010.1	37199	38101	+	(lpxC)	1-903/903	========/======	2/2	99.89	80.09	VFG037826(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_003957055.1.fna	RWKP01000011.1	35660	36369	-	(bfmR)	1-710/717	===============	0/0	99.02	84.93	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_003957055.1.fna	RWKP01000013.1	61121	63800	-	(vgrG/tssI)	1-2680/3282	=============..	0/0	81.66	85.11	VFG050912(gb|WP_000898330.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_003957055.1.fna	RWKP01000019.1	52292	53643	-	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	81.44	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_003957055.1.fna	RWKP01000021.1	30634	31351	+	(pilF)	85-801/801	.=======/======	1/1	89.51	80.08	VFG050418(gb|WP_004738086.1)	type	IV pilus biogenesis/stability protein PilW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004123275.1.fna	SDMM01000003.1	87795	89146	+	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	81.66	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_004123275.1.fna	SDMM01000003.1	96083	97239	-	(ABBFA_RS17125)	1-1157/1176	========/======	2/2	98.30	80.40	VFG037926(gb|WP_000935238)	DegT/DnrJ/EryC1/StrS	aminotransferase family protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_004123275.1.fna	SDMM01000003.1	97946	98529	-	(BJAB07104_RS00515)	1-584/615	===============	0/0	94.96	83.39	VFG038020(gb|WP_000595803)	sugar	transferase [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB07104]	
GCA_004123275.1.fna	SDMM01000007.1	15341	18400	+	(vgrG/tssI)	1-3060/3327	==============.	0/0	91.97	82.35	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
GCA_004123275.1.fna	SDMM01000008.1	9908	10810	+	(lpxC)	1-903/903	========/======	2/2	99.89	80.20	VFG037822(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ACICU]	
GCA_004123275.1.fna	SDMM01000014.1	61613	62322	+	(bfmR)	1-710/717	===============	0/0	99.02	84.93	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004123275.1.fna	SDMM01000017.1	29736	30801	-	(pilT)	3-1068/1068	========/======	2/2	99.72	83.50	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_004123275.1.fna	SDMM01000017.1	76382	77803	+	(tssC)	61-1482/1482	===============	0/0	95.95	84.04	VFG051070(gb|WP_001066523.1)	type	VI secretion system contractile sheath large subunit [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_004123275.1.fna	SDMM01000017.1	77859	78362	+	(hcp/tssD)	1-504/504	===============	0/0	100.00	87.50	VFG051046(gb|WP_000653195.1)	type	VI secretion system tube protein Hcp [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004123275.1.fna	SDMM01000029.1	69243	69626	-	(pilG)	1-384/384	===============	0/0	100.00	82.55	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_004123275.1.fna	SDMM01000029.1	90555	91576	-	(ompA)	1-1037/1062	========/======	8/23	95.86	84.25	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_004296305.1.fna	SGST01000001.1	30409	31126	+	(pilF)	85-801/801	.=======/======	1/1	89.51	80.08	VFG050418(gb|WP_004738086.1)	type	IV pilus biogenesis/stability protein PilW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004296305.1.fna	SGST01000001.1	132228	133249	+	(ompA)	1-1037/1062	========/======	7/17	96.14	84.30	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_004296305.1.fna	SGST01000001.1	152464	152847	+	(pilG)	1-384/384	===============	0/0	100.00	82.55	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_004296305.1.fna	SGST01000001.1	153269	153805	+	(pilI)	1-537/537	========/======	2/2	99.81	80.11	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_004296305.1.fna	SGST01000004.1	117795	118298	-	(hcp/tssD)	1-504/504	===============	0/0	100.00	87.50	VFG051046(gb|WP_000653195.1)	type	VI secretion system tube protein Hcp [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004296305.1.fna	SGST01000004.1	118354	119775	-	(tssC)	61-1482/1482	===============	0/0	95.95	83.97	VFG051070(gb|WP_001066523.1)	type	VI secretion system contractile sheath large subunit [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
GCA_004296305.1.fna	SGST01000004.1	190602	191667	+	(pilT)	3-1068/1068	========/======	2/2	99.72	83.50	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_004296305.1.fna	SGST01000007.1	59728	60437	+	(bfmR)	1-710/717	===============	0/0	99.02	85.21	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004296305.1.fna	SGST01000010.1	33706	34608	-	(lpxC)	1-903/903	========/======	2/2	99.89	80.09	VFG037822(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii ACICU]	
GCA_004296305.1.fna	SGST01000010.1	76206	79526	-	(vgrG/tssI)	1-3321/3321	===============	0/0	100.00	89.49	VFG050922(gb|WP_000898328.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004296305.1.fna	SGST01000012.1	36961	38312	+	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	80.77	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_004296305.1.fna	SGST01000012.1	52678	53540	-	(rfbA)	7-869/873	===============	0/0	98.85	82.16	VFG037938(gb|WP_000104825)	glucose-1-phosphate	thymidylyltransferase RfbA [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii TYTH-1]	
GCA_004920505.1.fna	QFGM01000005.1	82194	82903	-	(bfmR)	1-710/717	===============	0/0	99.02	85.63	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004920505.1.fna	QFGM01000008.1	26948	28299	+	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	81.58	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_004920505.1.fna	QFGM01000008.1	37899	39146	-	(M3Q_RS01470)	1-1248/1257	========/======	5/10	98.89	82.52	VFG038013(gb|WP_001050695)	O-antigen	translocase [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii TYTH-1]	
GCA_004920505.1.fna	QFGM01000008.1	39148	40263	-	(M3Q_RS01465)	1-1116/1116	===============	0/0	100.00	97.67	VFG037998(gb|WP_000612008)	DegT/DnrJ/EryC1/StrS	family aminotransferase [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii TYTH-1]	
GCA_004920505.1.fna	QFGM01000008.1	40274	40681	-	(M3Q_RS01460)	1-408/408	===============	0/0	100.00	99.27	VFG037983(gb|WP_000924631)	MaoC	family dehydratase [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii TYTH-1]	
GCA_004920505.1.fna	QFGM01000008.1	40684	41226	-	(M3Q_RS01455)	1-543/543	===============	0/0	100.00	98.53	VFG037968(gb|WP_000247059)	GNAT	family N-acetyltransferase [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii TYTH-1]	
GCA_004920505.1.fna	QFGM01000008.1	41226	41624	-	(M3Q_RS01450)	1-399/399	===============	0/0	100.00	99.25	VFG037953(gb|WP_000052392)	FdtA/QdtA	family cupin domain-containing protein [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii TYTH-1]	
GCA_004920505.1.fna	QFGM01000008.1	41627	42493	-	(rfbA)	7-873/873	===============	0/0	99.31	90.31	VFG037938(gb|WP_000104825)	glucose-1-phosphate	thymidylyltransferase RfbA [Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii TYTH-1]	
GCA_004920505.1.fna	QFGM01000012.1	16037	17070	-	(ompA)	1-1037/1062	========/======	4/15	96.80	88.02	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_004920505.1.fna	QFGM01000020.1	16991	17708	+	(pilF)	85-801/801	.=======/======	1/1	89.51	80.08	VFG050418(gb|WP_004738086.1)	type	IV pilus biogenesis/stability protein PilW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004920505.1.fna	QFGM01000032.1	28181	29246	+	(pilT)	3-1068/1068	========/======	2/2	99.72	83.97	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_004920505.1.fna	QFGM01000042.1	3393	3776	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_004920505.1.fna	QFGM01000042.1	4198	4734	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_004920505.1.fna	QFGM01000052.1	3189	6515	-	(vgrG/tssI)	1-3327/3327	===============	0/0	100.00	86.41	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
GCA_004920505.1.fna	QFGM01000058.1	10072	10974	+	(lpxC)	1-903/903	========/======	2/2	99.89	80.09	VFG037826(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004921845.1.fna	QFHD01000002.1	4706	5771	-	(pilT)	3-1068/1068	========/======	2/2	99.72	83.97	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_004921845.1.fna	QFHD01000003.1	98498	99207	-	(bfmR)	1-710/717	===============	0/0	99.02	85.49	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_004921845.1.fna	QFHD01000004.1	24103	25136	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.11	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_004921845.1.fna	QFHD01000004.1	44325	44708	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_004921845.1.fna	QFHD01000004.1	45130	45666	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_004921845.1.fna	QFHD01000007.1	53093	54450	+	(ABBFA_RS17100)	13-1370/1371	===============	0/0	99.05	81.15	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_004921845.1.fna	QFHD01000019.1	47654	50980	+	(vgrG/tssI)	1-3327/3327	===============	0/0	100.00	87.95	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
GCA_004921845.1.fna	QFHD01000035.1	12447	13349	+	(lpxC)	1-903/903	========/======	2/2	99.89	80.09	VFG037826(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_008979805.1.fna	BKFG01000006.1	45299	46650	+	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	81.21	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_008979805.1.fna	BKFG01000008.1	106705	109764	+	(vgrG/tssI)	1-3060/3327	==============.	0/0	91.97	82.94	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
GCA_008979805.1.fna	BKFG01000014.1	13139	14204	-	(pilT)	3-1068/1068	========/======	2/2	99.72	83.97	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_008979805.1.fna	BKFG01000022.1	34870	35579	-	(bfmR)	1-710/717	===============	0/0	99.02	85.63	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_008979805.1.fna	BKFG01000027.1	21839	22375	-	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_008979805.1.fna	BKFG01000027.1	22797	23180	-	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_008979805.1.fna	BKFG01000027.1	42369	43402	-	(ompA)	1-1037/1062	========/======	4/15	96.80	88.02	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_008980005.1.fna	BKFQ01000003.1	25165	25874	+	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
GCA_008980005.1.fna	BKFQ01000005.1	62173	63524	-	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	80.77	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
GCA_008980005.1.fna	BKFQ01000006.1	1925	4984	-	(vgrG/tssI)	1-3060/3327	==============.	0/0	91.97	82.94	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
GCA_008980005.1.fna	BKFQ01000014.1	24107	25140	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.02	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_008980005.1.fna	BKFQ01000014.1	44329	44712	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_008980005.1.fna	BKFQ01000014.1	45134	45670	+	(pilI)	1-537/537	========/======	2/2	99.81	80.11	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
GCA_008980005.1.fna	BKFQ01000034.1	6098	7163	+	(pilT)	3-1068/1068	========/======	2/2	99.72	83.97	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
GCA_008980735.1.fna	BKFZ01000001.1	82357	83390	+	(ompA)	1-1037/1062	========/======	4/15	96.80	87.92	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
GCA_008980735.1.fna	BKFZ01000001.1	102581	102964	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
